season,roster_id,user_id,manager,team_name,wins,losses,ties,points_for,points_against,potential_points,efficiency,draft_slot,finish,champion,made_playoffs,waiver_budget_used,total_moves
2025,10,475399371639222272,cc5597,Baby Dak Gibbs,11,3,0,2098.06,1764.08,2283.84,0.9187,11,1,0,1,125,0
2025,11,865793938542456832,Jacktaco98,So white it hurts,9,5,0,1830.39,1743.85,2009.49,0.9109,3,2,0,1,125,0
2025,2,736077599457026048,Erjohnson14,The TrashMen,8,6,0,1950.04,1813.89,2198.74,0.8869,4,3,1,1,125,0
2025,8,736803054736822272,TylerWicks,Stopped Bo-lievin’,7,7,0,1968.88,1784.64,2169.06,0.9077,12,4,0,1,125,0
2025,1,608781531883859968,bgreenblatt,Young and Beautiful ,7,7,0,1966.68,1905.57,2122.01,0.9268,1,5,0,1,125,0
2025,12,1136842855890366464,akepple9,Something About Flacco ,7,7,0,1930.01,1919.76,2212.24,0.8724,6,6,0,1,30,0
2025,6,736740647758938112,JSanDusky69,Manicures & Misery,7,7,0,1796.71,1830.43,1967.51,0.9132,5,7,0,0,125,0
2025,3,737091087440674816,MaxSirianni,We Built This Griddy,7,7,0,1775.4,1820.09,2033.74,0.873,9,8,0,0,43,0
2025,5,716698629934481408,charliekaufmann,Clownin’ Around,7,7,0,1680.06,1875.68,1800.46,0.9331,8,9,0,0,125,0
2025,7,735974647736213504,KingTowsk,Aaron Yeo’s future team,6,8,0,1810.33,1969.1,1987.05,0.9111,7,10,0,0,125,0
2025,9,710284244835979264,brockhusk,Just End The Season,4,10,0,1753.97,1969.41,1993.52,0.8798,2,11,0,0,84,0
2025,4,736744257179770880,jdrobny,Stick em up,4,10,0,1738.51,1902.54,2003.23,0.8679,10,12,0,0,111,0
