season,roster_id,user_id,manager,team_name,wins,losses,ties,points_for,points_against,potential_points,efficiency,draft_slot,finish,champion,made_playoffs,waiver_budget_used,total_moves
2022,4,736744257179770880,jdrobny,Rather Be Lucky Than Good,12,2,0,1847.9,1656.86,2100.26,0.8798,4,1,1,1,125,0
2022,10,475399371639222272,cc5597,The Bengalphin Boys,9,5,0,2087.85,1954.77,2320.35,0.8998,7,2,0,1,125,0
2022,7,735974647736213504,KingTowsk,Leeroy Jenkins,8,6,0,2021.39,2005.39,2170.67,0.9312,1,3,0,1,125,0
2022,1,608781531883859968,bgreenblatt,Taylor Park Boys,7,7,0,2121.4,2048.36,2330.48,0.9103,5,4,0,1,125,0
2022,9,710284244835979264,brockhusk,Super Flex Offenders ,7,7,0,1907.39,1794.7,2165.1,0.881,8,5,0,1,112,0
2022,2,736077599457026048,Erjohnson14,Dairy Sanders,6,8,0,1864.63,1877.51,2098.01,0.8888,2,6,0,1,122,0
2022,5,716698629934481408,kaufmannc,Mar-a-lago Raiders ,6,8,0,1857.13,1931.55,2116.45,0.8775,10,7,0,0,89,0
2022,6,736740647758938112,JSanDusky69,2 Girls 0 Kupps,6,8,0,1793.94,1899.23,2073.9,0.865,6,8,0,0,125,0
2022,3,737091087440674816,MaxSirianni,Tucker right in the pu$$y,5,9,0,1877.11,2073.78,2136.94,0.8784,9,9,0,0,98,0
2022,8,736803054736822272,TylerWicks,Sick of Gesicki,4,10,0,1866.12,2002.71,2108.38,0.8851,3,10,0,0,97,0
