season,week,roster_id,user_id,player_id,player_name,position,points,started,is_playoff
2023,1,1,608781531883859968,7523,Trevor Lawrence,QB,16.74,1,0
2023,1,1,608781531883859968,7611,Rhamondre Stevenson,RB,14.9,1,0
2023,1,1,608781531883859968,7591,Justin Fields,QB,14.54,1,0
2023,1,1,608781531883859968,1479,Keenan Allen,WR,14.2,1,0
2023,1,1,608781531883859968,WAS,Washington Commanders,DEF,13.25,1,0
2023,1,1,608781531883859968,4866,Saquon Barkley,RB,9.3,1,0
2023,1,1,608781531883859968,7596,Elijah Moore,WR,9.2,0,0
2023,1,1,608781531883859968,4227,Harrison Butker,K,8.0,1,0
2023,1,1,608781531883859968,5937,Diontae Johnson,WR,7.8,1,0
2023,1,1,608781531883859968,8135,Treylon Burks,WR,4.7,0,0
2023,1,1,608781531883859968,4983,DJ Moore,WR,4.5,1,0
2023,1,1,608781531883859968,4033,David Njoku,TE,4.4,1,0
2023,1,1,608781531883859968,8131,Isaiah Likely,TE,1.4,0,0
2023,1,1,608781531883859968,6945,Antonio Gibson,RB,0.9,0,0
2023,1,1,608781531883859968,4035,Alvin Kamara,RB,0,0,0
2023,1,1,608781531883859968,5849,Kyler Murray,QB,0,0,0
2023,1,1,608781531883859968,8148,Jameson Williams,WR,0,0,0
2023,1,1,608781531883859968,9482,Michael Mayer,TE,0,0,0
2023,1,2,736077599457026048,DAL,Dallas Cowboys,DEF,37.25,1,0
2023,1,2,736077599457026048,9509,Bijan Robinson,RB,20.3,1,0
2023,1,2,736077599457026048,8144,Chris Olave,WR,19.7,1,0
2023,1,2,736077599457026048,2216,Mike Evans,WR,18.6,0,0
2023,1,2,736077599457026048,9756,Jordan Addison,WR,16.1,0,0
2023,1,2,736077599457026048,8162,Sam Howell,QB,15.18,0,0
2023,1,2,736077599457026048,3198,Derrick Henry,RB,13.9,1,0
2023,1,2,736077599457026048,5846,DK Metcalf,WR,13.7,1,0
2023,1,2,736077599457026048,6904,Jalen Hurts,QB,12.5,1,0
2023,1,2,736077599457026048,4147,Samaje Perine,RB,11.8,0,0
2023,1,2,736077599457026048,7608,Khalil Herbert,RB,11.4,0,0
2023,1,2,736077599457026048,1373,Geno Smith,QB,9.08,1,0
2023,1,2,736077599457026048,4068,Mike Williams,WR,8.5,1,0
2023,1,2,736077599457026048,8129,Dameon Pierce,RB,6.7,0,0
2023,1,2,736077599457026048,2505,Darren Waller,TE,6.6,1,0
2023,1,2,736077599457026048,5095,Daniel Carlson,K,5.0,1,0
2023,1,3,737091087440674816,8132,Tyler Allgeier,RB,24.4,0,0
2023,1,3,737091087440674816,7543,Travis Etienne,RB,21.4,1,0
2023,1,3,737091087440674816,9997,Zay Flowers,WR,17.7,0,0
2023,1,3,737091087440674816,SF,San Francisco 49ers,DEF,17.25,1,0
2023,1,3,737091087440674816,2028,Derek Carr,QB,14.6,1,0
2023,1,3,737091087440674816,4137,James Conner,RB,12.0,1,0
2023,1,3,737091087440674816,5872,Deebo Samuel,WR,11.3,1,0
2023,1,3,737091087440674816,8160,Kenny Pickett,QB,10.18,0,0
2023,1,3,737091087440674816,4066,Evan Engram,TE,9.9,1,0
2023,1,3,737091087440674816,7564,Ja'Marr Chase,WR,9.1,1,0
2023,1,3,737091087440674816,2309,Amari Cooper,WR,6.7,0,0
2023,1,3,737091087440674816,10236,Dalton Kincaid,TE,6.6,0,0
2023,1,3,737091087440674816,6828,AJ Dillon,RB,5.6,0,0
2023,1,3,737091087440674816,7528,Najee Harris,RB,5.3,1,0
2023,1,3,737091087440674816,6770,Joe Burrow,QB,3.18,1,0
2023,1,3,737091087440674816,7839,Evan McPherson,K,2.0,1,0
2023,1,4,736744257179770880,6819,Michael Pittman,WR,23.7,1,0
2023,1,4,736744257179770880,4046,Patrick Mahomes,QB,19.54,1,0
