season,week,roster_id,user_id,player_id,player_name,position,points,started,is_playoff
2025,1,1,608781531883859968,12514,Emeka Egbuka,WR,23.6,1,0
2025,1,1,608781531883859968,11565,J.J. McCarthy,QB,21.22,1,0
2025,1,1,608781531883859968,4035,Alvin Kamara,RB,13.7,1,0
2025,1,1,608781531883859968,8112,Drake London,WR,13.5,1,0
2025,1,1,608781531883859968,8130,Trey McBride,TE,12.1,1,0
2025,1,1,608781531883859968,12526,Tetairoa McMillan,WR,11.8,1,0
2025,1,1,608781531883859968,11533,Brandon Aubrey,K,11.0,1,0
2025,1,1,608781531883859968,9228,Bryce Young,QB,8.16,1,0
2025,1,1,608781531883859968,4981,Calvin Ridley,WR,6.7,0,0
2025,1,1,608781531883859968,8148,Jameson Williams,WR,6.6,0,0
2025,1,1,608781531883859968,12541,Dont'e Thornton,WR,6.5,0,0
2025,1,1,608781531883859968,ARI,Arizona Cardinals,DEF,5.75,1,0
2025,1,1,608781531883859968,11655,Tyrone Tracy,RB,5.5,0,0
2025,1,1,608781531883859968,8151,Kenneth Walker,RB,5.4,1,0
2025,1,1,608781531883859968,12490,Bhayshul Tuten,RB,1.1,0,0
2025,1,1,608781531883859968,12508,Jaxson Dart,QB,0,0,0
2025,1,1,608781531883859968,6803,Brandon Aiyuk,WR,0,0,0
2025,1,2,736077599457026048,7591,Justin Fields,QB,29.52,0,0
2025,1,2,736077599457026048,11566,Jayden Daniels,QB,20.12,1,0
2025,1,2,736077599457026048,9488,Jaxon Smith-Njigba,WR,18.9,1,0
2025,1,2,736077599457026048,12469,Dylan Sampson,RB,17.3,0,0
2025,1,2,736077599457026048,9226,De'Von Achane,RB,16.5,1,0
2025,1,2,736077599457026048,4137,James Conner,RB,14.4,1,0
2025,1,2,736077599457026048,1466,Travis Kelce,TE,12.7,1,0
2025,1,2,736077599457026048,LAR,Los Angeles Rams,DEF,12.25,1,0
2025,1,2,736077599457026048,2449,Stefon Diggs,WR,11.7,0,0
2025,1,2,736077599457026048,6790,D'Andre Swift,RB,9.5,0,0
2025,1,2,736077599457026048,11631,Brian Thomas,WR,9.0,1,0
2025,1,2,736077599457026048,6768,Tua Tagovailoa,QB,5.26,1,0
2025,1,2,736077599457026048,7839,Evan McPherson,K,5.0,1,0
2025,1,2,736077599457026048,12499,Elic Ayomanor,WR,3.3,0,0
2025,1,2,736077599457026048,12547,Kyle Williams,WR,2.2,0,0
2025,1,2,736077599457026048,5859,A.J. Brown,WR,1.8,1,0
2025,1,2,736077599457026048,12457,Jaydon Blue,RB,0,0,0
