season,round,pick_in_round,overall_pick,draft_slot,slot_owner_roster_id,roster_id,traded_pick,user_id,manager,team_name,player_id,player_name,position,nfl_team,years_exp,is_keeper
2021,1,1,1,1,5,5,0,716698629934481408,kaufmannc,Cleveland Steamers,4034,Christian McCaffrey,RB,CAR,4,False
2021,1,2,2,2,1,1,0,608781531883859968,bgreenblatt,Ellis is a homo,4984,Josh Allen,QB,BUF,3,False
2021,1,3,3,3,2,2,0,736077599457026048,Erjohnson14,Ben choked ,4046,Patrick Mahomes,QB,KC,4,False
2021,1,4,4,4,3,3,0,737091087440674816,MaxSirianni,Brad can you Diggs it?,4029,Dalvin Cook,RB,MIN,4,False
2021,1,5,5,5,4,4,0,736744257179770880,jdrobny,Kareem in her Hunt,3198,Derrick Henry,RB,TEN,5,False
2021,1,6,6,6,10,10,0,475399371639222272,cc5597,No Punt Intended,4035,Alvin Kamara,RB,NO,4,False
2021,1,7,7,7,8,8,0,736803054736822272,TylerWicks,Opted Out,4199,Aaron Jones,RB,GB,4,False
2021,1,8,8,8,9,9,0,710284244835979264,brockhusk,Mike White GOAT,5849,Kyler Murray,QB,ARI,2,False
2021,1,9,9,9,6,6,0,736740647758938112,JSanDusky69,2 Girls 1 Kupp,96,Aaron Rodgers,QB,GB,16,False
2021,1,10,10,10,7,7,0,735974647736213504,KingTowsk,The Toilet Bowl Champ,4881,Lamar Jackson,QB,BAL,3,False
2021,2,10,11,10,7,7,0,735974647736213504,KingTowsk,The Toilet Bowl Champ,1466,Travis Kelce,TE,KC,8,False
2021,2,9,12,9,6,6,0,736740647758938112,JSanDusky69,2 Girls 1 Kupp,3321,Tyreek Hill,WR,KC,5,False
2021,2,8,13,8,9,9,0,710284244835979264,brockhusk,Mike White GOAT,2133,Davante Adams,WR,GB,7,False
2021,2,7,14,7,8,8,0,736803054736822272,TylerWicks,Opted Out,2505,Darren Waller,TE,LV,6,False
2021,2,6,15,6,10,10,0,475399371639222272,cc5597,No Punt Intended,3164,Ezekiel Elliott,RB,DAL,5,False
2021,2,5,16,5,4,4,0,736744257179770880,jdrobny,Kareem in her Hunt,6797,Justin Herbert,QB,LAC,1,False
2021,2,4,17,4,3,3,0,737091087440674816,MaxSirianni,Brad can you Diggs it?,1234,Russell Wilson,QB,SEA,9,False
2021,2,3,18,3,2,2,0,736077599457026048,Erjohnson14,Ben choked ,4866,Saquon Barkley,RB,NYG,3,False
2021,2,2,19,2,1,1,0,608781531883859968,bgreenblatt,Ellis is a homo,6813,Jonathan Taylor,RB,IND,1,False
2021,2,1,20,1,5,5,0,716698629934481408,kaufmannc,Cleveland Steamers,3294,Dak Prescott,QB,DAL,5,False
2021,3,1,21,1,5,5,0,716698629934481408,kaufmannc,Cleveland Steamers,4988,Nick Chubb,RB,CLE,3,False
2021,3,2,22,2,1,1,0,608781531883859968,bgreenblatt,Ellis is a homo,6945,Antonio Gibson,RB,WAS,1,False
2021,3,3,23,3,2,2,0,736077599457026048,Erjohnson14,Ben choked ,7528,Najee Harris,RB,PIT,0,False
2021,3,4,24,4,3,3,0,737091087440674816,MaxSirianni,Brad can you Diggs it?,2449,Stefon Diggs,WR,BUF,6,False
2021,3,5,25,5,4,4,0,736744257179770880,jdrobny,Kareem in her Hunt,4663,Austin Ekeler,RB,LAC,4,False
2021,3,6,26,6,10,10,0,475399371639222272,cc5597,No Punt Intended,4981,Calvin Ridley,WR,ATL,3,False
2021,3,7,27,7,8,8,0,736803054736822272,TylerWicks,Opted Out,421,Matthew Stafford,QB,LAR,12,False
2021,3,8,28,8,9,9,0,710284244835979264,brockhusk,Mike White GOAT,4018,Joe Mixon,RB,CIN,4,False
2021,3,9,29,9,6,6,0,736740647758938112,JSanDusky69,2 Girls 1 Kupp,4217,George Kittle,TE,SF,4,False
2021,3,10,30,10,7,7,0,735974647736213504,KingTowsk,The Toilet Bowl Champ,1426,DeAndre Hopkins,WR,ARI,8,False
2021,4,10,31,10,7,7,0,735974647736213504,KingTowsk,The Toilet Bowl Champ,6820,Clyde Edwards-Helaire,RB,KC,1,False
2021,4,9,32,9,6,6,0,736740647758938112,JSanDusky69,2 Girls 1 Kupp,5892,David Montgomery,RB,CHI,2,False
2021,4,8,33,8,9,9,0,710284244835979264,brockhusk,Mike White GOAT,5846,DK Metcalf,WR,SEA,2,False
2021,4,7,34,7,8,8,0,736803054736822272,TylerWicks,Opted Out,6794,Justin Jefferson,WR,MIN,1,False
2021,4,6,35,6,10,10,0,475399371639222272,cc5597,No Punt Intended,167,Tom Brady,QB,TB,21,False
2021,4,5,36,5,4,4,0,736744257179770880,jdrobny,Kareem in her Hunt,6904,Jalen Hurts,QB,PHI,1,False
2021,4,4,37,4,3,3,0,737091087440674816,MaxSirianni,Brad can you Diggs it?,1992,Allen Robinson,WR,CHI,7,False
2021,4,3,38,3,2,2,0,736077599457026048,Erjohnson14,Ben choked ,5859,A.J. Brown,WR,TEN,2,False
2021,4,2,39,2,1,1,0,608781531883859968,bgreenblatt,Ellis is a homo,1049,Ryan Tannehill,QB,TEN,9,False
2021,4,1,40,1,5,5,0,716698629934481408,kaufmannc,Cleveland Steamers,1479,Keenan Allen,WR,LAC,8,False
2021,5,1,41,1,5,5,0,716698629934481408,kaufmannc,Cleveland Steamers,5927,Terry McLaurin,WR,WAS,2,False
2021,5,2,42,2,1,1,0,608781531883859968,bgreenblatt,Ellis is a homo,7553,Kyle Pitts,TE,ATL,0,False
2021,5,3,43,3,2,2,0,736077599457026048,Erjohnson14,Ben choked ,6786,CeeDee Lamb,WR,DAL,1,False
2021,5,4,44,4,3,3,0,737091087440674816,MaxSirianni,Brad can you Diggs it?,5012,Mark Andrews,TE,BAL,3,False
2021,5,5,45,5,4,4,0,736744257179770880,jdrobny,Kareem in her Hunt,2216,Mike Evans,WR,TB,7,False
2021,5,6,46,6,10,10,0,475399371639222272,cc5597,No Punt Intended,4037,Chris Godwin,WR,TB,4,False
2021,5,7,47,7,8,8,0,736803054736822272,TylerWicks,Opted Out,947,Julio Jones,WR,TEN,10,False
2021,5,8,48,8,9,9,0,710284244835979264,brockhusk,Mike White GOAT,6955,James Robinson,RB,JAX,1,False
2021,5,9,49,9,6,6,0,736740647758938112,JSanDusky69,2 Girls 1 Kupp,4039,Cooper Kupp,WR,LAR,4,False
2021,5,10,50,10,7,7,0,735974647736213504,KingTowsk,The Toilet Bowl Champ,6790,D'Andre Swift,RB,DET,1,False
2021,6,10,51,10,7,7,0,735974647736213504,KingTowsk,The Toilet Bowl Champ,7523,Trevor Lawrence,QB,JAX,0,False
2021,6,9,52,9,6,6,0,736740647758938112,JSanDusky69,2 Girls 1 Kupp,4943,Sam Darnold,QB,CAR,3,False
2021,6,8,53,8,9,9,0,710284244835979264,brockhusk,Mike White GOAT,2309,Amari Cooper,WR,DAL,6,False
2021,6,7,54,7,8,8,0,736803054736822272,TylerWicks,Opted Out,4273,Chris Carson,RB,SEA,4,False
2021,6,6,55,6,10,10,0,475399371639222272,cc5597,No Punt Intended,6770,Joe Burrow,QB,CIN,1,False
2021,6,5,56,5,4,4,0,736744257179770880,jdrobny,Kareem in her Hunt,1352,Robert Woods,WR,LAR,8,False
2021,6,4,57,4,3,3,0,737091087440674816,MaxSirianni,Brad can you Diggs it?,6151,Miles Sanders,RB,PHI,2,False
2021,6,3,58,3,2,2,0,736077599457026048,Erjohnson14,Ben choked ,5844,T.J. Hockenson,TE,DET,2,False
2021,6,2,59,2,1,1,0,608781531883859968,bgreenblatt,Ellis is a homo,1689,Adam Thielen,WR,MIN,8,False
2021,6,1,60,1,5,5,0,716698629934481408,kaufmannc,Cleveland Steamers,5850,Josh Jacobs,RB,LV,2,False
