season,round,pick_in_round,overall_pick,draft_slot,slot_owner_roster_id,roster_id,traded_pick,user_id,manager,team_name,player_id,player_name,position,nfl_team,years_exp,is_keeper
2025,1,1,1,1,1,10,1,475399371639222272,cc5597,Baby Dak Gibbs,4984,Josh Allen,QB,BUF,7,False
2025,1,2,2,2,9,9,0,710284244835979264,brockhusk,Just End The Season,4881,Lamar Jackson,QB,BAL,7,False
2025,1,3,3,3,11,11,0,865793938542456832,Jacktaco98,So white it hurts,6904,Jalen Hurts,QB,PHI,5,False
2025,1,4,4,4,2,2,0,736077599457026048,Erjohnson14,The TrashMen,11566,Jayden Daniels,QB,WAS,1,False
2025,1,5,5,5,6,6,0,736740647758938112,JSanDusky69,Manicures & Misery,6770,Joe Burrow,QB,CIN,5,False
2025,1,6,6,6,12,12,0,1136842855890366464,akepple9,Something About Flacco ,4046,Patrick Mahomes,QB,KC,8,False
2025,1,7,7,7,7,7,0,735974647736213504,KingTowsk,Aaron Yeo’s future team,7564,Ja'Marr Chase,WR,CIN,4,False
2025,1,8,8,8,5,5,0,716698629934481408,charliekaufmann,Clownin’ Around,9509,Bijan Robinson,RB,ATL,2,False
2025,1,9,9,9,3,3,0,737091087440674816,MaxSirianni,We Built This Griddy,6794,Justin Jefferson,WR,MIN,5,False
2025,1,10,10,10,4,4,0,736744257179770880,jdrobny,Stick em up,4866,Saquon Barkley,RB,PHI,7,False
2025,1,11,11,11,10,10,0,475399371639222272,cc5597,Baby Dak Gibbs,9221,Jahmyr Gibbs,RB,DET,2,False
2025,1,12,12,12,8,8,0,736803054736822272,TylerWicks,Stopped Bo-lievin’,4034,Christian McCaffrey,RB,SF,8,False
2025,2,12,13,12,8,8,0,736803054736822272,TylerWicks,Stopped Bo-lievin’,3198,Derrick Henry,RB,BAL,9,False
2025,2,11,14,11,10,10,0,475399371639222272,cc5597,Baby Dak Gibbs,6786,CeeDee Lamb,WR,DAL,5,False
2025,2,10,15,10,4,4,0,736744257179770880,jdrobny,Stick em up,6797,Justin Herbert,QB,LAC,5,False
2025,2,9,16,9,3,3,0,737091087440674816,MaxSirianni,We Built This Griddy,7547,Amon-Ra St. Brown,WR,DET,4,False
