season,round,pick_in_round,overall_pick,draft_slot,slot_owner_roster_id,roster_id,traded_pick,user_id,manager,team_name,player_id,player_name,position,nfl_team,years_exp,is_keeper
2023,1,1,1,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,6904,Jalen Hurts,QB,PHI,3,False
2023,1,2,2,2,4,4,0,736744257179770880,jdrobny,B2B,4046,Patrick Mahomes,QB,KC,6,False
2023,1,3,3,3,9,9,0,710284244835979264,brockhusk,Toss My Saleh’d,4984,Josh Allen,QB,BUF,5,False
2023,1,4,4,4,8,8,0,736803054736822272,TylerWicks,Christian Mingle,4034,Christian McCaffrey,RB,SF,6,False
2023,1,5,5,5,6,6,0,736740647758938112,JSanDusky69,Tua Girls One Kupp,6794,Justin Jefferson,WR,MIN,3,False
2023,1,6,6,6,10,10,0,475399371639222272,cc5597,Bill Ninerkingz,4881,Lamar Jackson,QB,BAL,5,False
2023,1,7,7,7,7,1,1,608781531883859968,bgreenblatt,Taylor Park Boys,7591,Justin Fields,QB,CHI,2,False
2023,1,8,8,8,1,3,1,737091087440674816,MaxSirianni,I hate Joe Burrow,6770,Joe Burrow,QB,CIN,3,False
2023,1,9,9,9,5,5,0,716698629934481408,kaufmannc,London Has Fallen,6797,Justin Herbert,QB,LAC,3,False
2023,1,10,10,10,3,3,0,737091087440674816,MaxSirianni,I hate Joe Burrow,7564,Ja'Marr Chase,WR,CIN,2,False
2023,2,10,11,10,3,7,1,735974647736213504,KingTowsk,Leeroy Jenkins,1466,Travis Kelce,TE,KC,10,False
2023,2,9,12,9,5,5,0,716698629934481408,kaufmannc,London Has Fallen,3321,Tyreek Hill,WR,MIA,7,False
2023,2,8,13,8,1,1,0,608781531883859968,bgreenblatt,Taylor Park Boys,4866,Saquon Barkley,RB,NYG,5,False
2023,2,7,14,7,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,2449,Stefon Diggs,WR,BUF,8,False
2023,2,6,15,6,10,10,0,475399371639222272,cc5597,Bill Ninerkingz,4663,Austin Ekeler,RB,LAC,6,False
2023,2,5,16,5,6,6,0,736740647758938112,JSanDusky69,Tua Girls One Kupp,4039,Cooper Kupp,WR,LAR,6,False
2023,2,4,17,4,8,8,0,736803054736822272,TylerWicks,Christian Mingle,5859,A.J. Brown,WR,PHI,4,False
2023,2,3,18,3,9,9,0,710284244835979264,brockhusk,Toss My Saleh’d,4988,Nick Chubb,RB,CLE,5,False
2023,2,2,19,2,4,4,0,736744257179770880,jdrobny,B2B,2133,Davante Adams,WR,LV,9,False
2023,2,1,20,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,9509,Bijan Robinson,RB,ATL,0,False
2023,3,1,21,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,3198,Derrick Henry,RB,TEN,7,False
