season,player_id,player_name,position,weeks_rostered,points_regular,points_total,points_started,weeks_started
2025,4034,Christian McCaffrey,RB,18,327.5,416.6,416.6,17
2025,9493,Puka Nacua,WR,18,261.4,379.5,379.5,16
2025,9509,Bijan Robinson,RB,18,269.3,377.8,377.8,17
2025,9221,Jahmyr Gibbs,RB,18,314.1,372.4,372.4,17
2025,6813,Jonathan Taylor,RB,18,314.5,367.8,367.8,17
2025,9488,Jaxon Smith-Njigba,WR,18,292.9,365.9,365.9,17
2025,4984,Josh Allen,QB,18,310.52,364.12,364.12,17
2025,11564,Drake Maye,QB,18,258.08,349.96,349.96,17
2025,421,Matthew Stafford,QB,18,257.66,348.88,318.72,15
2025,7523,Trevor Lawrence,QB,18,214.8,336.68,312.84,15
2025,9226,De'Von Achane,RB,18,274.9,326.3,326.3,17
2025,7547,Amon-Ra St. Brown,WR,18,234.0,325.5,325.5,17
2025,7564,Ja'Marr Chase,WR,18,225.9,318.6,318.6,16
2025,8130,Trey McBride,TE,18,235.7,317.4,317.4,17
2025,3294,Dak Prescott,QB,18,259.78,315.28,315.28,17
2025,11560,Caleb Williams,QB,18,237.12,315.18,290.98,16
2025,11563,Bo Nix,QB,18,232.06,307.34,307.34,17
2025,8138,James Cook,RB,18,238.0,307.2,307.2,17
2025,3163,Jared Goff,QB,18,229.26,300.06,287.96,16
2025,6904,Jalen Hurts,QB,18,246.36,296.56,296.56,17
2025,8137,George Pickens,WR,18,244.4,290.9,290.9,17
2025,6797,Justin Herbert,QB,18,232.14,284.88,284.88,17
2025,4046,Patrick Mahomes,QB,18,271.62,284.68,284.68,14
2025,3198,Derrick Henry,RB,18,190.0,283.5,283.5,17
2025,9224,Chase Brown,RB,18,184.6,282.1,259.5,15
2025,8144,Chris Olave,WR,18,186.8,271.0,207.6,13
2025,4892,Baker Mayfield,QB,18,206.38,267.42,267.42,17
2025,8150,Kyren Williams,RB,18,203.4,263.8,263.8,17
2025,7543,Travis Etienne,RB,18,190.3,254.9,204.1,13
2025,12527,Ashton Jeanty,RB,18,184.4,249.6,214.3,16
2025,9997,Zay Flowers,WR,18,164.5,247.8,204.3,15
2025,7588,Javonte Williams,RB,18,211.0,243.8,243.8,17
2025,12508,Jaxson Dart,QB,18,173.44,239.08,239.08,12
2025,4866,Saquon Barkley,RB,18,191.6,237.3,237.3,17
2025,5850,Josh Jacobs,RB,18,206.8,236.6,236.6,16
2025,4943,Sam Darnold,QB,18,191.68,234.42,198.14,14
2025,6804,Jordan Love,QB,18,215.92,232.64,232.64,17
2025,6790,D'Andre Swift,RB,18,172.3,231.6,164.3,12
2025,7569,Nico Collins,WR,18,187.1,230.7,230.7,16
2025,96,Aaron Rodgers,QB,18,170.0,227.58,139.78,9
2025,2133,Davante Adams,WR,18,212.8,223.9,223.9,14
2025,8148,Jameson Williams,WR,18,164.9,222.9,170.2,11
2025,5859,A.J. Brown,WR,18,180.4,222.8,210.9,15
2025,5045,Courtland Sutton,WR,18,167.3,222.2,222.2,17
2025,5870,Daniel Jones,QB,18,220.94,220.94,198.1,12
2025,8126,Wan'Dale Robinson,WR,18,174.0,218.4,23.3,2
2025,8228,Jaylen Warren,RB,18,159.4,218.1,150.9,12
2025,9228,Bryce Young,QB,18,159.58,217.04,127.1,9
2025,6801,Tee Higgins,WR,18,170.7,213.6,196.2,13
2025,12529,TreVeyon Henderson,RB,18,151.9,213.2,187.4,14
2025,12526,Tetairoa McMillan,WR,18,177.1,212.9,212.9,17
2025,2449,Stefon Diggs,WR,18,154.0,212.8,118.0,10
2025,4881,Lamar Jackson,QB,18,171.1,211.86,189.44,12
2025,8155,Breece Hall,RB,18,174.76,211.66,127.5,11
2025,7553,Kyle Pitts,TE,18,131.1,211.3,146.8,11
2025,9758,C.J. Stroud,QB,18,144.64,210.54,210.54,14
2025,12489,RJ Harvey,RB,18,151.6,207.1,145.2,10
2025,HOU,Houston Texans,DEF,17,159.5,205.75,184.0,15
2025,6786,CeeDee Lamb,WR,18,165.7,205.4,205.4,14
2025,8112,Drake London,WR,18,179.5,204.4,204.4,12
2025,7525,DeVonta Smith,WR,18,168.4,204.3,184.3,16
2025,6794,Justin Jefferson,WR,18,158.4,203.0,203.0,17
2025,6819,Michael Pittman,WR,18,183.4,202.9,133.8,11
2025,7021,Rico Dowdle,RB,15,166.6,199.6,196.0,13
2025,12514,Emeka Egbuka,WR,18,176.5,198.7,184.2,16
2025,7526,Jaylen Waddle,WR,18,178.12,194.62,161.92,15
2025,8151,Kenneth Walker,RB,18,139.1,193.4,166.7,15
2025,1466,Travis Kelce,TE,18,164.8,192.2,170.6,14
2025,5846,DK Metcalf,WR,18,167.0,189.7,161.2,15
2025,3257,Jacoby Brissett,QB,10,125.5,189.28,168.22,9
2025,5967,Tony Pollard,RB,18,138.4,187.8,73.6,7
2025,12518,Tyler Warren,TE,18,159.7,187.5,187.5,17
2025,8110,Jake Ferguson,TE,18,169.5,187.1,173.1,14
2025,5022,Dallas Goedert,TE,18,138.6,185.6,122.8,11
2025,5872,Deebo Samuel,WR,18,157.0,185.2,138.3,12
2025,12522,Cam Ward,QB,18,124.92,183.16,128.16,12
2025,11635,Ladd McConkey,WR,18,159.5,181.9,181.9,17
2025,9753,Zach Charbonnet,RB,18,116.0,181.9,0.0,0
2025,1479,Keenan Allen,WR,18,150.9,181.2,99.5,9
2025,SEA,Seattle Seahawks,DEF,15,142.0,177.5,137.25,10
2025,11604,Brock Bowers,TE,16,154.1,177.2,177.2,12
2025,8183,Brock Purdy,QB,18,78.68,176.38,176.38,9
2025,5947,Jakobi Meyers,WR,18,137.8,175.8,76.1,6
2025,11533,Brandon Aubrey,K,18,139.0,174.6,174.6,17
2025,7049,Jauan Jennings,WR,18,117.3,173.8,30.9,3
2025,12506,Harold Fannin,TE,17,130.8,173.3,78.2,6
2025,10232,Michael Wilson,WR,8,100.6,171.5,171.5,8
2025,12512,Quinshon Judkins,RB,18,156.0,170.8,144.2,12
2025,4983,DJ Moore,WR,18,121.58,170.68,121.08,11
