season,player_id,player_name,position,weeks_rostered,points_regular,points_total,points_started,weeks_started
2024,4881,Lamar Jackson,QB,18,321.4,429.88,393.78,16
2024,7564,Ja'Marr Chase,WR,18,327.4,413.5,395.1,16
2024,4984,Josh Allen,QB,18,303.62,379.04,379.04,17
2024,6770,Joe Burrow,QB,18,288.54,378.82,378.82,17
2024,9221,Jahmyr Gibbs,RB,18,239.8,367.4,294.1,15
2024,4866,Saquon Barkley,RB,18,308.5,366.3,366.3,17
2024,4892,Baker Mayfield,QB,18,252.26,359.8,287.16,13
2024,11566,Jayden Daniels,QB,18,261.26,355.32,332.18,16
2024,9509,Bijan Robinson,RB,18,248.3,343.2,343.2,17
2024,3198,Derrick Henry,RB,18,256.7,340.9,334.2,16
2024,3163,Jared Goff,QB,18,224.5,329.46,329.46,17
2024,6794,Justin Jefferson,WR,18,239.18,321.98,321.98,17
2024,11563,Bo Nix,QB,18,229.78,319.7,273.3,13
2024,7547,Amon-Ra St. Brown,WR,18,227.68,319.68,319.68,17
2024,6904,Jalen Hurts,QB,18,279.98,313.12,313.12,17
2024,9226,De'Von Achane,RB,18,230.4,301.4,287.8,16
2024,5849,Kyler Murray,QB,18,223.38,298.74,298.74,17
2024,5850,Josh Jacobs,RB,18,228.8,293.6,293.6,17
2024,11631,Brian Thomas,WR,18,184.1,289.0,172.9,8
2024,4046,Patrick Mahomes,QB,18,220.06,286.52,225.76,14
2024,6797,Justin Herbert,QB,18,195.46,284.9,272.22,16
2024,8112,Drake London,WR,18,197.8,282.3,194.8,13
2024,11632,Malik Nabers,WR,18,182.1,276.1,223.7,13
2024,4943,Sam Darnold,QB,16,207.32,273.42,198.06,11
2024,8150,Kyren Williams,RB,18,221.8,272.1,272.1,17
2024,5927,Terry McLaurin,WR,18,206.8,271.8,199.5,11
2024,8138,James Cook,RB,18,195.7,270.7,234.2,15
2024,6786,CeeDee Lamb,WR,18,222.8,267.9,267.9,17
2024,4035,Alvin Kamara,RB,18,250.3,267.3,250.3,13
