season,transaction_id,week,type,status,created_ms,created_date,roster_id,manager,action,player_id,player_name,position,faab_bid
2021,743705510959812608,1,waiver,complete,1631675720494,2021-09-14,2,Erjohnson14,add,2152,Teddy Bridgewater,QB,
2021,743611394401923072,1,waiver,complete,1631653281358,2021-09-14,10,cc5597,add,7561,Elijah Mitchell,RB,
2021,743576557544673280,1,waiver,failed,1631644975604,2021-09-14,8,TylerWicks,add,7561,Elijah Mitchell,RB,
2021,743576557544673280,1,waiver,failed,1631644975604,2021-09-14,8,TylerWicks,drop,1408,Le'Veon Bell,RB,
2021,743534841240358912,1,waiver,complete,1631635029662,2021-09-14,10,cc5597,add,5052,Ronald Jones,RB,
2021,743534476981911552,1,waiver,failed,1631634942816,2021-09-14,10,cc5597,add,NE,New England Patriots,DEF,
2021,743509792051564544,1,waiver,complete,1631629057470,2021-09-14,8,TylerWicks,add,2711,Taylor Heinicke,QB,
2021,743498282482995200,1,waiver,failed,1631626313375,2021-09-14,2,Erjohnson14,add,7561,Elijah Mitchell,RB,
2021,743497357806698496,1,waiver,failed,1631626092915,2021-09-14,3,MaxSirianni,add,7561,Elijah Mitchell,RB,
2021,743355072750239744,1,waiver,failed,1631592169514,2021-09-13,1,bgreenblatt,add,7561,Elijah Mitchell,RB,
2021,742975835996786688,1,waiver,complete,1631501752426,2021-09-12,1,bgreenblatt,add,5947,Jakobi Meyers,WR,
2021,742975835996786688,1,waiver,complete,1631501752426,2021-09-12,1,bgreenblatt,drop,7596,Elijah Moore,WR,
2021,742921355678683136,1,waiver,complete,1631488763306,2021-09-12,1,bgreenblatt,add,3200,Sterling Shepard,WR,
2021,742921355678683136,1,waiver,complete,1631488763306,2021-09-12,1,bgreenblatt,drop,7565,Terrace Marshall,WR,
2021,741882881189916672,1,free_agent,complete,1631241171694,2021-09-09,9,brockhusk,add,1476,Latavius Murray,RB,
2021,741882881189916672,1,free_agent,complete,1631241171694,2021-09-09,9,brockhusk,drop,5052,Ronald Jones,RB,
2021,741783560553615360,1,free_agent,complete,1631217491809,2021-09-09,8,TylerWicks,add,1408,Le'Veon Bell,RB,
2021,741783560553615360,1,free_agent,complete,1631217491809,2021-09-09,8,TylerWicks,drop,5848,Marquise Brown,WR,
2021,741768382344511488,1,free_agent,complete,1631213873042,2021-09-09,7,KingTowsk,add,7098,Ty'Son Williams,RB,
2021,741768382344511488,1,free_agent,complete,1631213873042,2021-09-09,7,KingTowsk,drop,4066,Evan Engram,TE,
2021,741522133913583616,1,free_agent,complete,1631155162841,2021-09-08,7,KingTowsk,add,CAR,Carolina Panthers,DEF,
2021,741522133913583616,1,free_agent,complete,1631155162841,2021-09-08,7,KingTowsk,drop,2391,David Johnson,RB,
2021,741509383661469696,1,free_agent,complete,1631152122944,2021-09-08,1,bgreenblatt,add,7565,Terrace Marshall,WR,
2021,746178549412651008,2,waiver,failed,1632265338808,2021-09-21,7,KingTowsk,add,3200,Sterling Shepard,WR,
2021,746178549412651008,2,waiver,failed,1632265338808,2021-09-21,7,KingTowsk,drop,6798,Jalen Reagor,WR,
2021,746081173406683136,2,waiver,failed,1632242122559,2021-09-21,7,KingTowsk,add,CAR,Carolina Panthers,DEF,
2021,746081173406683136,2,waiver,failed,1632242122559,2021-09-21,7,KingTowsk,drop,6083,Matt Gay,K,
2021,746078920184610816,2,waiver,failed,1632241585349,2021-09-21,7,KingTowsk,add,1535,Cordarrelle Patterson,RB,
2021,746078920184610816,2,waiver,failed,1632241585349,2021-09-21,7,KingTowsk,drop,4950,Christian Kirk,WR,
2021,746078775850237952,2,waiver,failed,1632241550937,2021-09-21,3,MaxSirianni,add,7601,Rondale Moore,WR,
2021,746078775850237952,2,waiver,failed,1632241550937,2021-09-21,3,MaxSirianni,drop,6814,Laviska Shenault,WR,
2021,746074750106886144,2,waiver,complete,1632240591125,2021-09-21,7,KingTowsk,add,7601,Rondale Moore,WR,
2021,746074750106886144,2,waiver,complete,1632240591125,2021-09-21,7,KingTowsk,drop,4950,Christian Kirk,WR,
2021,746074310615146496,2,waiver,failed,1632240486342,2021-09-21,7,KingTowsk,add,5870,Daniel Jones,QB,
2021,746074310615146496,2,waiver,failed,1632240486342,2021-09-21,7,KingTowsk,drop,2306,Jameis Winston,QB,
2021,746068298566840320,2,waiver,failed,1632239052958,2021-09-21,1,bgreenblatt,add,1535,Cordarrelle Patterson,RB,
2021,746068298566840320,2,waiver,failed,1632239052958,2021-09-21,1,bgreenblatt,drop,7593,Trey Sermon,RB,
2021,746045494714884096,2,waiver,complete,1632233616096,2021-09-21,9,brockhusk,add,17,Matt Prater,K,
2021,746045494714884096,2,waiver,complete,1632233616096,2021-09-21,9,brockhusk,drop,7547,Amon-Ra St. Brown,WR,
2021,746040595507744768,2,waiver,complete,1632232448034,2021-09-21,2,Erjohnson14,add,3200,Sterling Shepard,WR,
2021,746040595507744768,2,waiver,complete,1632232448034,2021-09-21,2,Erjohnson14,drop,3209,Devontae Booker,RB,
2021,746034605722820608,2,waiver,complete,1632231019958,2021-09-21,3,MaxSirianni,add,1535,Cordarrelle Patterson,RB,
2021,746034605722820608,2,waiver,complete,1632231019958,2021-09-21,3,MaxSirianni,drop,6814,Laviska Shenault,WR,
