season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2023,3,9,brockhusk,Toss My Saleh’d,130.58,2,Erjohnson14,114.32,W,False
2023,3,10,cc5597,Bill Ninerkingz,158.23,3,MaxSirianni,185.52,L,False
2023,4,1,bgreenblatt,Taylor Park Boys,152.98,5,kaufmannc,126.35,W,False
2023,4,2,Erjohnson14,Johnson’s Lil Johnson,140.74,3,MaxSirianni,67.01,W,False
2023,4,3,MaxSirianni,I hate Joe Burrow,67.01,2,Erjohnson14,140.74,L,False
2023,4,4,jdrobny,B2B,162.54,7,KingTowsk,154.08,W,False
2023,4,5,kaufmannc,London Has Fallen,126.35,1,bgreenblatt,152.98,L,False
2023,4,6,JSanDusky69,Tua Girls One Kupp,124.09,9,brockhusk,138.89,L,False
2023,4,7,KingTowsk,Leeroy Jenkins,154.08,4,jdrobny,162.54,L,False
2023,4,8,TylerWicks,Christian Mingle,196.94,10,cc5597,128.59,W,False
2023,4,9,brockhusk,Toss My Saleh’d,138.89,6,JSanDusky69,124.09,W,False
2023,4,10,cc5597,Bill Ninerkingz,128.59,8,TylerWicks,196.94,L,False
2023,5,1,bgreenblatt,Taylor Park Boys,134.84,3,MaxSirianni,189.74,L,False
2023,5,2,Erjohnson14,Johnson’s Lil Johnson,119.39,7,KingTowsk,147.47,L,False
2023,5,3,MaxSirianni,I hate Joe Burrow,189.74,1,bgreenblatt,134.84,W,False
2023,5,4,jdrobny,B2B,126.13,5,kaufmannc,121.44,W,False
2023,5,5,kaufmannc,London Has Fallen,121.44,4,jdrobny,126.13,L,False
2023,5,6,JSanDusky69,Tua Girls One Kupp,186.65,8,TylerWicks,119.39,W,False
2023,5,7,KingTowsk,Leeroy Jenkins,147.47,2,Erjohnson14,119.39,W,False
2023,5,8,TylerWicks,Christian Mingle,119.39,6,JSanDusky69,186.65,L,False
2023,5,9,brockhusk,Toss My Saleh’d,114.08,10,cc5597,96.71,W,False
2023,5,10,cc5597,Bill Ninerkingz,96.71,9,brockhusk,114.08,L,False
2023,6,1,bgreenblatt,Taylor Park Boys,120.32,9,brockhusk,164.59,L,False
2023,6,2,Erjohnson14,Johnson’s Lil Johnson,127.68,10,cc5597,87.74,W,False
2023,6,3,MaxSirianni,I hate Joe Burrow,108.16,6,JSanDusky69,131.82,L,False
2023,6,4,jdrobny,B2B,150.45,8,TylerWicks,123.41,W,False
2023,6,5,kaufmannc,London Has Fallen,106.05,7,KingTowsk,147.0,L,False
2023,6,6,JSanDusky69,Tua Girls One Kupp,131.82,3,MaxSirianni,108.16,W,False
2023,6,7,KingTowsk,Leeroy Jenkins,147.0,5,kaufmannc,106.05,W,False
2023,6,8,TylerWicks,Christian Mingle,123.41,4,jdrobny,150.45,L,False
2023,6,9,brockhusk,Toss My Saleh’d,164.59,1,bgreenblatt,120.32,W,False
2023,6,10,cc5597,Bill Ninerkingz,87.74,2,Erjohnson14,127.68,L,False
2023,7,1,bgreenblatt,Taylor Park Boys,134.52,10,cc5597,130.8,W,False
2023,7,2,Erjohnson14,Johnson’s Lil Johnson,131.17,6,JSanDusky69,103.38,W,False
2023,7,3,MaxSirianni,I hate Joe Burrow,106.94,5,kaufmannc,121.74,L,False
2023,7,4,jdrobny,B2B,137.82,9,brockhusk,146.25,L,False
2023,7,5,kaufmannc,London Has Fallen,121.74,3,MaxSirianni,106.94,W,False
2023,7,6,JSanDusky69,Tua Girls One Kupp,103.38,2,Erjohnson14,131.17,L,False
2023,7,7,KingTowsk,Leeroy Jenkins,190.78,8,TylerWicks,114.71,W,False
2023,7,8,TylerWicks,Christian Mingle,114.71,7,KingTowsk,190.78,L,False
2023,7,9,brockhusk,Toss My Saleh’d,146.25,4,jdrobny,137.82,W,False
2023,7,10,cc5597,Bill Ninerkingz,130.8,1,bgreenblatt,134.52,L,False
2023,8,1,bgreenblatt,Taylor Park Boys,158.5,2,Erjohnson14,130.26,W,False
2023,8,2,Erjohnson14,Johnson’s Lil Johnson,130.26,1,bgreenblatt,158.5,L,False
2023,8,3,MaxSirianni,I hate Joe Burrow,157.37,8,TylerWicks,163.01,L,False
2023,8,4,jdrobny,B2B,126.86,10,cc5597,167.46,L,False
2023,8,5,kaufmannc,London Has Fallen,138.87,6,JSanDusky69,124.99,W,False
2023,8,6,JSanDusky69,Tua Girls One Kupp,124.99,5,kaufmannc,138.87,L,False
2023,8,7,KingTowsk,Leeroy Jenkins,149.75,9,brockhusk,192.62,L,False
2023,8,8,TylerWicks,Christian Mingle,163.01,3,MaxSirianni,157.37,W,False
2023,8,9,brockhusk,Toss My Saleh’d,192.62,7,KingTowsk,149.75,W,False
2023,8,10,cc5597,Bill Ninerkingz,167.46,4,jdrobny,126.86,W,False
2023,9,1,bgreenblatt,Taylor Park Boys,112.14,8,TylerWicks,99.51,W,False
2023,9,2,Erjohnson14,Johnson’s Lil Johnson,151.3,4,jdrobny,121.63,W,False
2023,9,3,MaxSirianni,I hate Joe Burrow,123.31,9,brockhusk,150.78,L,False
