season,roster_id,manager,team_name,player_id,player_name,position,nfl_team,slot
2023,1,bgreenblatt,Taylor Park Boys,11533,Brandon Aubrey,K,DAL,starter
2023,1,bgreenblatt,Taylor Park Boys,1479,Keenan Allen,WR,,ir
2023,1,bgreenblatt,Taylor Park Boys,2505,Darren Waller,TE,,starter
2023,1,bgreenblatt,Taylor Park Boys,4035,Alvin Kamara,RB,NO,starter
2023,1,bgreenblatt,Taylor Park Boys,559,Tim Tebow,TE,,bench
2023,1,bgreenblatt,Taylor Park Boys,5849,Kyler Murray,QB,MIN,starter
2023,1,bgreenblatt,Taylor Park Boys,6130,Devin Singletary,RB,NYG,bench
2023,1,bgreenblatt,Taylor Park Boys,6794,Justin Jefferson,WR,MIN,starter
2023,1,bgreenblatt,Taylor Park Boys,6813,Jonathan Taylor,RB,IND,starter
2023,1,bgreenblatt,Taylor Park Boys,6826,Cole Kmet,TE,CHI,bench
2023,1,bgreenblatt,Taylor Park Boys,7543,Travis Etienne,RB,NO,starter
2023,1,bgreenblatt,Taylor Park Boys,7569,Nico Collins,WR,HOU,starter
2023,1,bgreenblatt,Taylor Park Boys,827,Tyrod Taylor,QB,GB,starter
2023,1,bgreenblatt,Taylor Park Boys,8676,Rashid Shaheed,WR,SEA,bench
2023,1,bgreenblatt,Taylor Park Boys,9231,Jaren Hall,QB,,bench
2023,1,bgreenblatt,Taylor Park Boys,JAX,Jacksonville Jaguars,DEF,JAX,starter
2023,2,Erjohnson14,Johnson’s Lil Johnson,10229,Rashee Rice,WR,KC,starter
2023,2,Erjohnson14,Johnson’s Lil Johnson,1373,Geno Smith,QB,NYJ,starter
2023,2,Erjohnson14,Johnson’s Lil Johnson,184,Adrian Peterson,RB,,bench
2023,2,Erjohnson14,Johnson’s Lil Johnson,2197,Brandin Cooks,WR,,bench
2023,2,Erjohnson14,Johnson’s Lil Johnson,3198,Derrick Henry,RB,BAL,starter
2023,2,Erjohnson14,Johnson’s Lil Johnson,4046,Patrick Mahomes,QB,KC,starter
2023,2,Erjohnson14,Johnson’s Lil Johnson,4663,Austin Ekeler,RB,,bench
