season,roster_id,manager,team_name,player_id,player_name,position,nfl_team,slot
2022,1,bgreenblatt,Taylor Park Boys,1466,Travis Kelce,TE,KC,starter
2022,1,bgreenblatt,Taylor Park Boys,2216,Mike Evans,WR,SF,starter
2022,1,bgreenblatt,Taylor Park Boys,2449,Stefon Diggs,WR,,starter
2022,1,bgreenblatt,Taylor Park Boys,4866,Saquon Barkley,RB,PHI,starter
2022,1,bgreenblatt,Taylor Park Boys,4881,Lamar Jackson,QB,BAL,bench
2022,1,bgreenblatt,Taylor Park Boys,503,Graham Gano,K,,starter
2022,1,bgreenblatt,Taylor Park Boys,5848,Marquise Brown,WR,PHI,bench
2022,1,bgreenblatt,Taylor Park Boys,6803,Brandon Aiyuk,WR,SF,bench
2022,1,bgreenblatt,Taylor Park Boys,7523,Trevor Lawrence,QB,JAX,starter
2022,1,bgreenblatt,Taylor Park Boys,7611,Rhamondre Stevenson,RB,NE,starter
2022,1,bgreenblatt,Taylor Park Boys,8119,Jahan Dotson,WR,ATL,starter
2022,1,bgreenblatt,Taylor Park Boys,8136,Rachaad White,RB,WAS,bench
2022,1,bgreenblatt,Taylor Park Boys,8148,Jameson Williams,WR,DET,bench
2022,1,bgreenblatt,Taylor Park Boys,8183,Brock Purdy,QB,SF,starter
2022,1,bgreenblatt,Taylor Park Boys,JAX,Jacksonville Jaguars,DEF,JAX,bench
2022,1,bgreenblatt,Taylor Park Boys,NYG,New York Giants,DEF,NYG,starter
2022,2,Erjohnson14,Dairy Sanders,167,Tom Brady,QB,,starter
2022,2,Erjohnson14,Dairy Sanders,2747,Jason Myers,K,SEA,starter
2022,2,Erjohnson14,Dairy Sanders,3269,Chris Moore,WR,BAL,starter
2022,2,Erjohnson14,Dairy Sanders,4034,Christian McCaffrey,RB,SF,starter
2022,2,Erjohnson14,Dairy Sanders,4066,Evan Engram,TE,DEN,starter
2022,2,Erjohnson14,Dairy Sanders,5022,Dallas Goedert,TE,PHI,bench
2022,2,Erjohnson14,Dairy Sanders,5089,Mike White,QB,,bench
2022,2,Erjohnson14,Dairy Sanders,5859,A.J. Brown,WR,NE,starter
2022,2,Erjohnson14,Dairy Sanders,5872,Deebo Samuel,WR,SF,ir
2022,2,Erjohnson14,Dairy Sanders,5937,Diontae Johnson,WR,,bench
2022,2,Erjohnson14,Dairy Sanders,6945,Antonio Gibson,RB,,bench
2022,2,Erjohnson14,Dairy Sanders,7594,Chuba Hubbard,RB,CAR,bench
2022,2,Erjohnson14,Dairy Sanders,8129,Dameon Pierce,RB,PHI,bench
2022,2,Erjohnson14,Dairy Sanders,8144,Chris Olave,WR,NO,starter
2022,2,Erjohnson14,Dairy Sanders,8151,Kenneth Walker,RB,KC,starter
2022,2,Erjohnson14,Dairy Sanders,96,Aaron Rodgers,QB,PIT,starter
2022,2,Erjohnson14,Dairy Sanders,KC,Kansas City Chiefs,DEF,KC,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,1166,Kirk Cousins,QB,LV,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,1264,Justin Tucker,K,,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,2309,Amari Cooper,WR,,bench
2022,3,MaxSirianni,Tucker right in the pu$$y,4068,Mike Williams,WR,,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,4098,Kareem Hunt,RB,,bench
2022,3,MaxSirianni,Tucker right in the pu$$y,4943,Sam Darnold,QB,SEA,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,4950,Christian Kirk,WR,SF,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,4988,Nick Chubb,RB,,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,5844,T.J. Hockenson,TE,MIN,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,5892,David Montgomery,RB,HOU,bench
2022,3,MaxSirianni,Tucker right in the pu$$y,6794,Justin Jefferson,WR,MIN,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,7528,Najee Harris,RB,,starter
2022,3,MaxSirianni,Tucker right in the pu$$y,8154,Brian Robinson,RB,ATL,bench
2022,3,MaxSirianni,Tucker right in the pu$$y,8160,Kenny Pickett,QB,CAR,bench
2022,3,MaxSirianni,Tucker right in the pu$$y,CIN,Cincinnati Bengals,DEF,CIN,bench
2022,3,MaxSirianni,Tucker right in the pu$$y,TB,Tampa Bay Buccaneers,DEF,TB,starter
2022,4,jdrobny,Rather Be Lucky Than Good,1837,Jimmy Garoppolo,QB,,ir
2022,4,jdrobny,Rather Be Lucky Than Good,2197,Brandin Cooks,WR,,bench
2022,4,jdrobny,Rather Be Lucky Than Good,3225,Tyler Boyd,WR,,bench
2022,4,jdrobny,Rather Be Lucky Than Good,4018,Joe Mixon,RB,,starter
2022,4,jdrobny,Rather Be Lucky Than Good,5012,Mark Andrews,TE,BAL,starter
2022,4,jdrobny,Rather Be Lucky Than Good,5038,Michael Gallup,WR,,starter
2022,4,jdrobny,Rather Be Lucky Than Good,5850,Josh Jacobs,RB,GB,starter
2022,4,jdrobny,Rather Be Lucky Than Good,6130,Devin Singletary,RB,NYG,bench
2022,4,jdrobny,Rather Be Lucky Than Good,650,Nick Folk,K,ATL,starter
2022,4,jdrobny,Rather Be Lucky Than Good,6797,Justin Herbert,QB,LAC,starter
2022,4,jdrobny,Rather Be Lucky Than Good,6938,Cam Akers,RB,,starter
2022,4,jdrobny,Rather Be Lucky Than Good,7045,Joshua Kelley,RB,,bench
2022,4,jdrobny,Rather Be Lucky Than Good,7525,DeVonta Smith,WR,PHI,starter
2022,4,jdrobny,Rather Be Lucky Than Good,7527,Mac Jones,QB,SF,bench
2022,4,jdrobny,Rather Be Lucky Than Good,7591,Justin Fields,QB,KC,starter
2022,4,jdrobny,Rather Be Lucky Than Good,8138,James Cook,RB,BUF,bench
2022,4,jdrobny,Rather Be Lucky Than Good,BAL,Baltimore Ravens,DEF,BAL,starter
2022,5,kaufmannc,Mar-a-lago Raiders ,1426,DeAndre Hopkins,WR,,starter
