season,roster_id,manager,team_name,player_id,player_name,position,nfl_team,slot
2021,1,bgreenblatt,Ellis is a homo,1049,Ryan Tannehill,QB,,starter
2021,1,bgreenblatt,Ellis is a homo,2319,DeVante Parker,WR,,bench
2021,1,bgreenblatt,Ellis is a homo,2359,Ameer Abdullah,RB,JAX,bench
2021,1,bgreenblatt,Ellis is a homo,3969,Leonard Fournette,RB,,ir
2021,1,bgreenblatt,Ellis is a homo,4984,Josh Allen,QB,BUF,starter
2021,1,bgreenblatt,Ellis is a homo,4985,Rashaad Penny,RB,,starter
2021,1,bgreenblatt,Ellis is a homo,5052,Ronald Jones,RB,,bench
2021,1,bgreenblatt,Ellis is a homo,6783,Jerry Jeudy,WR,CLE,bench
2021,1,bgreenblatt,Ellis is a homo,6794,Justin Jefferson,WR,MIN,starter
2021,1,bgreenblatt,Ellis is a homo,6813,Jonathan Taylor,RB,IND,starter
2021,1,bgreenblatt,Ellis is a homo,6819,Michael Pittman,WR,PIT,bench
2021,1,bgreenblatt,Ellis is a homo,7042,Tyler Bass,K,BUF,starter
2021,1,bgreenblatt,Ellis is a homo,7547,Amon-Ra St. Brown,WR,DET,starter
2021,1,bgreenblatt,Ellis is a homo,7553,Kyle Pitts,TE,ATL,starter
2021,1,bgreenblatt,Ellis is a homo,7564,Ja'Marr Chase,WR,CIN,starter
2021,1,bgreenblatt,Ellis is a homo,7610,Trey Lance,QB,LAC,bench
2021,1,bgreenblatt,Ellis is a homo,IND,Indianapolis Colts,DEF,IND,starter
2021,1,bgreenblatt,Ellis is a homo,SF,San Francisco 49ers,DEF,SF,bench
2021,2,Erjohnson14,Ben choked ,1837,Jimmy Garoppolo,QB,,starter
2021,2,Erjohnson14,Ben choked ,2152,Teddy Bridgewater,QB,DET,bench
2021,2,Erjohnson14,Ben choked ,4046,Patrick Mahomes,QB,KC,starter
2021,2,Erjohnson14,Ben choked ,4866,Saquon Barkley,RB,PHI,bench
2021,2,Erjohnson14,Ben choked ,4962,Sony Michel,RB,,bench
2021,2,Erjohnson14,Ben choked ,5001,Dalton Schultz,TE,HOU,starter
2021,2,Erjohnson14,Ben choked ,5844,T.J. Hockenson,TE,MIN,ir
2021,2,Erjohnson14,Ben choked ,5859,A.J. Brown,WR,NE,bench
2021,2,Erjohnson14,Ben choked ,5872,Deebo Samuel,WR,SF,starter
2021,2,Erjohnson14,Ben choked ,5947,Jakobi Meyers,WR,JAX,bench
2021,2,Erjohnson14,Ben choked ,5955,Hunter Renfrow,WR,,starter
2021,2,Erjohnson14,Ben choked ,5987,Alexander Mattison,RB,,bench
2021,2,Erjohnson14,Ben choked ,6083,Matt Gay,K,LV,starter
2021,2,Erjohnson14,Ben choked ,6786,CeeDee Lamb,WR,DAL,starter
2021,2,Erjohnson14,Ben choked ,6938,Cam Akers,RB,,bench
2021,2,Erjohnson14,Ben choked ,6945,Antonio Gibson,RB,,starter
2021,2,Erjohnson14,Ben choked ,7528,Najee Harris,RB,,starter
2021,2,Erjohnson14,Ben choked ,7588,Javonte Williams,RB,DAL,bench
2021,2,Erjohnson14,Ben choked ,NO,New Orleans Saints,DEF,NO,bench
2021,2,Erjohnson14,Ben choked ,TB,Tampa Bay Buccaneers,DEF,TB,starter
2021,3,MaxSirianni,Brad can you Diggs it?,1110,T.Y. Hilton,WR,,bench
2021,3,MaxSirianni,Brad can you Diggs it?,1234,Russell Wilson,QB,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,1535,Cordarrelle Patterson,RB,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,2449,Stefon Diggs,WR,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,3161,Carson Wentz,QB,MIN,starter
2021,3,MaxSirianni,Brad can you Diggs it?,4029,Dalvin Cook,RB,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,4068,Mike Williams,WR,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,4666,Younghoe Koo,K,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,4892,Baker Mayfield,QB,TB,bench
2021,3,MaxSirianni,Brad can you Diggs it?,5000,Chase Edmonds,RB,,ir
2021,3,MaxSirianni,Brad can you Diggs it?,5012,Mark Andrews,TE,BAL,starter
2021,3,MaxSirianni,Brad can you Diggs it?,5022,Dallas Goedert,TE,PHI,bench
2021,3,MaxSirianni,Brad can you Diggs it?,6130,Devin Singletary,RB,NYG,bench
2021,3,MaxSirianni,Brad can you Diggs it?,6151,Miles Sanders,RB,,starter
2021,3,MaxSirianni,Brad can you Diggs it?,7496,Nick Westbrook-Ikhine,WR,IND,bench
2021,3,MaxSirianni,Brad can you Diggs it?,7525,DeVonta Smith,WR,PHI,bench
2021,3,MaxSirianni,Brad can you Diggs it?,7571,Rashod Bateman,WR,BAL,bench
2021,3,MaxSirianni,Brad can you Diggs it?,7596,Elijah Moore,WR,PHI,bench
2021,3,MaxSirianni,Brad can you Diggs it?,LAC,Los Angeles Chargers,DEF,LAC,starter
2021,4,jdrobny,Kareem in her Hunt,1264,Justin Tucker,K,,starter
2021,4,jdrobny,Kareem in her Hunt,1339,Zach Ertz,TE,,starter
2021,4,jdrobny,Kareem in her Hunt,2168,Devonta Freeman,RB,,bench
2021,4,jdrobny,Kareem in her Hunt,2197,Brandin Cooks,WR,,starter
2021,4,jdrobny,Kareem in her Hunt,2216,Mike Evans,WR,SF,bench
