season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2025,1,1,bgreenblatt,Young and Beautiful ,126.23,11,Jacktaco98,133.51,L,False
2025,1,2,Erjohnson14,The TrashMen,115.93,9,brockhusk,153.44,L,False
2025,1,3,MaxSirianni,We Built This Griddy,121.7,8,TylerWicks,105.36,W,False
2025,1,4,jdrobny,Stick em up,141.27,12,akepple9,137.22,W,False
2025,1,5,charliekaufmann,Clownin’ Around,88.31,10,cc5597,153.68,L,False
2025,1,6,JSanDusky69,Manicures & Misery,99.49,7,KingTowsk,127.4,L,False
2025,1,7,KingTowsk,Aaron Yeo’s future team,127.4,6,JSanDusky69,99.49,W,False
2025,1,8,TylerWicks,Stopped Bo-lievin’,105.36,3,MaxSirianni,121.7,L,False
2025,1,9,brockhusk,Just End The Season,153.44,2,Erjohnson14,115.93,W,False
2025,1,10,cc5597,Baby Dak Gibbs,153.68,5,charliekaufmann,88.31,W,False
2025,1,11,Jacktaco98,So white it hurts,133.51,1,bgreenblatt,126.23,W,False
2025,1,12,akepple9,Something About Flacco ,137.22,4,jdrobny,141.27,L,False
2025,2,1,bgreenblatt,Young and Beautiful ,128.67,12,akepple9,155.54,L,False
2025,2,2,Erjohnson14,The TrashMen,129.33,4,jdrobny,106.08,W,False
2025,2,3,MaxSirianni,We Built This Griddy,146.13,7,KingTowsk,175.38,L,False
2025,2,4,jdrobny,Stick em up,106.08,2,Erjohnson14,129.33,L,False
2025,2,5,charliekaufmann,Clownin’ Around,144.1,11,Jacktaco98,119.29,W,False
2025,2,6,JSanDusky69,Manicures & Misery,124.48,9,brockhusk,103.25,W,False
2025,2,7,KingTowsk,Aaron Yeo’s future team,175.38,3,MaxSirianni,146.13,W,False
2025,2,8,TylerWicks,Stopped Bo-lievin’,142.02,10,cc5597,111.21,W,False
2025,2,9,brockhusk,Just End The Season,103.25,6,JSanDusky69,124.48,L,False
2025,2,10,cc5597,Baby Dak Gibbs,111.21,8,TylerWicks,142.02,L,False
2025,2,11,Jacktaco98,So white it hurts,119.29,5,charliekaufmann,144.1,L,False
2025,2,12,akepple9,Something About Flacco ,155.54,1,bgreenblatt,128.67,W,False
2025,3,1,bgreenblatt,Young and Beautiful ,107.04,10,cc5597,160.21,L,False
2025,3,2,Erjohnson14,The TrashMen,139.1,12,akepple9,113.69,W,False
2025,3,3,MaxSirianni,We Built This Griddy,149.14,6,JSanDusky69,127.85,W,False
2025,3,4,jdrobny,Stick em up,120.78,11,Jacktaco98,133.71,L,False
2025,3,5,charliekaufmann,Clownin’ Around,106.54,9,brockhusk,166.44,L,False
2025,3,6,JSanDusky69,Manicures & Misery,127.85,3,MaxSirianni,149.14,L,False
2025,3,7,KingTowsk,Aaron Yeo’s future team,121.64,8,TylerWicks,120.98,W,False
2025,3,8,TylerWicks,Stopped Bo-lievin’,120.98,7,KingTowsk,121.64,L,False
2025,3,9,brockhusk,Just End The Season,166.44,5,charliekaufmann,106.54,W,False
2025,3,10,cc5597,Baby Dak Gibbs,160.21,1,bgreenblatt,107.04,W,False
2025,3,11,Jacktaco98,So white it hurts,133.71,4,jdrobny,120.78,W,False
2025,3,12,akepple9,Something About Flacco ,113.69,2,Erjohnson14,139.1,L,False
2025,4,1,bgreenblatt,Young and Beautiful ,140.84,6,JSanDusky69,166.81,L,False
2025,4,2,Erjohnson14,The TrashMen,130.72,8,TylerWicks,128.21,W,False
2025,4,3,MaxSirianni,We Built This Griddy,165.26,10,cc5597,150.17,W,False
2025,4,4,jdrobny,Stick em up,157.92,12,akepple9,170.42,L,False
2025,4,5,charliekaufmann,Clownin’ Around,155.75,7,KingTowsk,105.06,W,False
2025,4,6,JSanDusky69,Manicures & Misery,166.81,1,bgreenblatt,140.84,W,False
2025,4,7,KingTowsk,Aaron Yeo’s future team,105.06,5,charliekaufmann,155.75,L,False
2025,4,8,TylerWicks,Stopped Bo-lievin’,128.21,2,Erjohnson14,130.72,L,False
2025,4,9,brockhusk,Just End The Season,111.59,11,Jacktaco98,168.02,L,False
2025,4,10,cc5597,Baby Dak Gibbs,150.17,3,MaxSirianni,165.26,L,False
2025,4,11,Jacktaco98,So white it hurts,168.02,9,brockhusk,111.59,W,False
2025,4,12,akepple9,Something About Flacco ,170.42,4,jdrobny,157.92,W,False
2025,5,1,bgreenblatt,Young and Beautiful ,149.05,4,jdrobny,145.05,W,False
2025,5,2,Erjohnson14,The TrashMen,145.61,10,cc5597,151.7,L,False
2025,5,3,MaxSirianni,We Built This Griddy,145.46,9,brockhusk,159.66,L,False
2025,5,4,jdrobny,Stick em up,145.05,1,bgreenblatt,149.05,L,False
2025,5,5,charliekaufmann,Clownin’ Around,120.24,6,JSanDusky69,149.41,L,False
2025,5,6,JSanDusky69,Manicures & Misery,149.41,5,charliekaufmann,120.24,W,False
2025,5,7,KingTowsk,Aaron Yeo’s future team,108.18,11,Jacktaco98,119.17,L,False
2025,5,8,TylerWicks,Stopped Bo-lievin’,156.44,12,akepple9,141.64,W,False
2025,5,9,brockhusk,Just End The Season,159.66,3,MaxSirianni,145.46,W,False
2025,5,10,cc5597,Baby Dak Gibbs,151.7,2,Erjohnson14,145.61,W,False
2025,5,11,Jacktaco98,So white it hurts,119.17,7,KingTowsk,108.18,W,False
2025,5,12,akepple9,Something About Flacco ,141.64,8,TylerWicks,156.44,L,False
2025,6,1,bgreenblatt,Young and Beautiful ,183.96,2,Erjohnson14,153.96,W,False
2025,6,2,Erjohnson14,The TrashMen,153.96,1,bgreenblatt,183.96,L,False
2025,6,3,MaxSirianni,We Built This Griddy,119.31,5,charliekaufmann,103.4,W,False
2025,6,4,jdrobny,Stick em up,110.6,8,TylerWicks,112.76,L,False
