season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2022,1,1,bgreenblatt,Taylor Park Boys,174.02,7,KingTowsk,175.31,L,False
2022,1,2,Erjohnson14,Dairy Sanders,142.8,5,kaufmannc,109.2,W,False
2022,1,3,MaxSirianni,Tucker right in the pu$$y,151.74,8,TylerWicks,133.57,W,False
2022,1,4,jdrobny,Rather Be Lucky Than Good,135.05,10,cc5597,119.68,W,False
2022,1,5,kaufmannc,Mar-a-lago Raiders ,109.2,2,Erjohnson14,142.8,L,False
2022,1,6,JSanDusky69,2 Girls 0 Kupps,147.62,9,brockhusk,104.96,W,False
2022,1,7,KingTowsk,Leeroy Jenkins,175.31,1,bgreenblatt,174.02,W,False
2022,1,8,TylerWicks,Sick of Gesicki,133.57,3,MaxSirianni,151.74,L,False
2022,1,9,brockhusk,Super Flex Offenders ,104.96,6,JSanDusky69,147.62,L,False
2022,1,10,cc5597,The Bengalphin Boys,119.68,4,jdrobny,135.05,L,False
2022,2,1,bgreenblatt,Taylor Park Boys,141.32,8,TylerWicks,175.3,L,False
2022,2,2,Erjohnson14,Dairy Sanders,126.27,6,JSanDusky69,156.59,L,False
2022,2,3,MaxSirianni,Tucker right in the pu$$y,138.13,7,KingTowsk,158.83,L,False
2022,2,4,jdrobny,Rather Be Lucky Than Good,149.16,9,brockhusk,128.2,W,False
2022,2,5,kaufmannc,Mar-a-lago Raiders ,156.02,10,cc5597,160.5,L,False
2022,2,6,JSanDusky69,2 Girls 0 Kupps,156.59,2,Erjohnson14,126.27,W,False
2022,2,7,KingTowsk,Leeroy Jenkins,158.83,3,MaxSirianni,138.13,W,False
2022,2,8,TylerWicks,Sick of Gesicki,175.3,1,bgreenblatt,141.32,W,False
2022,2,9,brockhusk,Super Flex Offenders ,128.2,4,jdrobny,149.16,L,False
2022,2,10,cc5597,The Bengalphin Boys,160.5,5,kaufmannc,156.02,W,False
2022,3,1,bgreenblatt,Taylor Park Boys,185.53,3,MaxSirianni,107.22,W,False
2022,3,2,Erjohnson14,Dairy Sanders,101.25,9,brockhusk,126.38,L,False
2022,3,3,MaxSirianni,Tucker right in the pu$$y,107.22,1,bgreenblatt,185.53,L,False
2022,3,4,jdrobny,Rather Be Lucky Than Good,113.67,5,kaufmannc,130.69,L,False
2022,3,5,kaufmannc,Mar-a-lago Raiders ,130.69,4,jdrobny,113.67,W,False
2022,3,6,JSanDusky69,2 Girls 0 Kupps,111.7,10,cc5597,125.31,L,False
2022,3,7,KingTowsk,Leeroy Jenkins,122.79,8,TylerWicks,109.92,W,False
2022,3,8,TylerWicks,Sick of Gesicki,109.92,7,KingTowsk,122.79,L,False
2022,3,9,brockhusk,Super Flex Offenders ,126.38,2,Erjohnson14,101.25,W,False
2022,3,10,cc5597,The Bengalphin Boys,125.31,6,JSanDusky69,111.7,W,False
2022,4,1,bgreenblatt,Taylor Park Boys,140.62,9,brockhusk,133.49,W,False
2022,4,2,Erjohnson14,Dairy Sanders,152.84,8,TylerWicks,100.28,W,False
2022,4,3,MaxSirianni,Tucker right in the pu$$y,164.62,5,kaufmannc,177.28,L,False
2022,4,4,jdrobny,Rather Be Lucky Than Good,123.61,6,JSanDusky69,119.48,W,False
2022,4,5,kaufmannc,Mar-a-lago Raiders ,177.28,3,MaxSirianni,164.62,W,False
2022,4,6,JSanDusky69,2 Girls 0 Kupps,119.48,4,jdrobny,123.61,L,False
2022,4,7,KingTowsk,Leeroy Jenkins,130.42,10,cc5597,166.19,L,False
2022,4,8,TylerWicks,Sick of Gesicki,100.28,2,Erjohnson14,152.84,L,False
2022,4,9,brockhusk,Super Flex Offenders ,133.49,1,bgreenblatt,140.62,L,False
2022,4,10,cc5597,The Bengalphin Boys,166.19,7,KingTowsk,130.42,W,False
2022,5,1,bgreenblatt,Taylor Park Boys,190.9,6,JSanDusky69,131.65,W,False
2022,5,2,Erjohnson14,Dairy Sanders,110.65,3,MaxSirianni,149.99,L,False
2022,5,3,MaxSirianni,Tucker right in the pu$$y,149.99,2,Erjohnson14,110.65,W,False
2022,5,4,jdrobny,Rather Be Lucky Than Good,126.84,7,KingTowsk,123.57,W,False
2022,5,5,kaufmannc,Mar-a-lago Raiders ,126.03,8,TylerWicks,121.95,W,False
2022,5,6,JSanDusky69,2 Girls 0 Kupps,131.65,1,bgreenblatt,190.9,L,False
2022,5,7,KingTowsk,Leeroy Jenkins,123.57,4,jdrobny,126.84,L,False
2022,5,8,TylerWicks,Sick of Gesicki,121.95,5,kaufmannc,126.03,L,False
2022,5,9,brockhusk,Super Flex Offenders ,185.38,10,cc5597,136.03,W,False
2022,5,10,cc5597,The Bengalphin Boys,136.03,9,brockhusk,185.38,L,False
2022,6,1,bgreenblatt,Taylor Park Boys,172.7,2,Erjohnson14,135.26,W,False
2022,6,2,Erjohnson14,Dairy Sanders,135.26,1,bgreenblatt,172.7,L,False
2022,6,3,MaxSirianni,Tucker right in the pu$$y,85.18,10,cc5597,165.24,L,False
2022,6,4,jdrobny,Rather Be Lucky Than Good,117.22,8,TylerWicks,106.01,W,False
2022,6,5,kaufmannc,Mar-a-lago Raiders ,97.52,9,brockhusk,105.22,L,False
2022,6,6,JSanDusky69,2 Girls 0 Kupps,110.7,7,KingTowsk,141.44,L,False
2022,6,7,KingTowsk,Leeroy Jenkins,141.44,6,JSanDusky69,110.7,W,False
2022,6,8,TylerWicks,Sick of Gesicki,106.01,4,jdrobny,117.22,L,False
2022,6,9,brockhusk,Super Flex Offenders ,105.22,5,kaufmannc,97.52,W,False
2022,6,10,cc5597,The Bengalphin Boys,165.24,3,MaxSirianni,85.18,W,False
2022,7,1,bgreenblatt,Taylor Park Boys,160.95,5,kaufmannc,124.87,W,False
2022,7,2,Erjohnson14,Dairy Sanders,135.51,10,cc5597,172.17,L,False
2022,7,3,MaxSirianni,Tucker right in the pu$$y,122.19,4,jdrobny,123.89,L,False
