season,transaction_id,week,type,status,created_ms,created_date,roster_id,manager,action,player_id,player_name,position,faab_bid
2025,1271335508647096320,1,waiver,complete,1757472514834,2025-09-09,2,Erjohnson14,add,12711,Tyler Loop,K,1
2025,1271335508647096320,1,waiver,complete,1757472514834,2025-09-09,2,Erjohnson14,drop,7839,Evan McPherson,K,
2025,1271313659297030144,1,waiver,complete,1757467305543,2025-09-09,6,JSanDusky69,add,4144,Jonnu Smith,TE,20
2025,1271313659297030144,1,waiver,complete,1757467305543,2025-09-09,6,JSanDusky69,drop,12519,Luther Burden,WR,
2025,1271313153468145664,1,waiver,failed,1757467184944,2025-09-09,6,JSanDusky69,add,5848,Marquise Brown,WR,31
2025,1271313153468145664,1,waiver,failed,1757467184944,2025-09-09,6,JSanDusky69,drop,12519,Luther Burden,WR,
2025,1271305063817555969,1,waiver,failed,1757465256222,2025-09-09,3,MaxSirianni,add,9754,Quentin Johnston,WR,2
2025,1271305063817555969,1,waiver,failed,1757465256222,2025-09-09,3,MaxSirianni,drop,9225,Tank Bigsby,RB,
2025,1271303657408700417,1,waiver,complete,1757464920908,2025-09-09,2,Erjohnson14,add,7002,Juwan Johnson,TE,6
2025,1271303657408700417,1,waiver,complete,1757464920908,2025-09-09,2,Erjohnson14,drop,12499,Elic Ayomanor,WR,
2025,1271215853911695360,1,waiver,complete,1757443986923,2025-09-09,9,brockhusk,add,DAL,Dallas Cowboys,DEF,6
2025,1271215853911695360,1,waiver,complete,1757443986923,2025-09-09,9,brockhusk,drop,NE,New England Patriots,DEF,
2025,1271164112549740544,1,waiver,failed,1757431650821,2025-09-09,7,KingTowsk,add,SEA,Seattle Seahawks,DEF,1
2025,1271164112549740544,1,waiver,failed,1757431650821,2025-09-09,7,KingTowsk,drop,WAS,Washington Commanders,DEF,
2025,1271164034460155904,1,waiver,failed,1757431632202,2025-09-09,7,KingTowsk,add,MIA,Miami Dolphins,DEF,1
2025,1271164034460155904,1,waiver,failed,1757431632202,2025-09-09,7,KingTowsk,drop,WAS,Washington Commanders,DEF,
2025,1271163923021709312,1,waiver,complete,1757431605634,2025-09-09,7,KingTowsk,add,DET,Detroit Lions,DEF,5
2025,1271163923021709312,1,waiver,complete,1757431605634,2025-09-09,7,KingTowsk,drop,WAS,Washington Commanders,DEF,
2025,1271163807489617920,1,waiver,failed,1757431578089,2025-09-09,7,KingTowsk,add,DAL,Dallas Cowboys,DEF,6
2025,1271163807489617920,1,waiver,failed,1757431578089,2025-09-09,7,KingTowsk,drop,WAS,Washington Commanders,DEF,
