season,transaction_id,week,type,status,created_ms,created_date,roster_id,manager,action,player_id,player_name,position,faab_bid
2022,875525289927749632,1,waiver,complete,1663104004893,2022-09-13,3,MaxSirianni,add,4951,DJ Chark,WR,3
2022,875525289927749632,1,waiver,complete,1663104004893,2022-09-13,3,MaxSirianni,drop,5890,Damien Harris,RB,
2022,875524131414843392,1,free_agent,complete,1663103728682,2022-09-13,7,KingTowsk,drop,6126,Irv Smith,TE,
2022,875482101884067840,1,waiver,complete,1663093708061,2022-09-13,10,cc5597,add,2307,Marcus Mariota,QB,11
2022,875482101884067840,1,waiver,complete,1663093708061,2022-09-13,10,cc5597,drop,7538,Zach Wilson,QB,
2022,875423700965658624,1,waiver,complete,1663079784197,2022-09-13,9,brockhusk,add,5284,Jeff Wilson,RB,25
2022,875423700965658624,1,waiver,complete,1663079784197,2022-09-13,9,brockhusk,drop,7600,Pat Freiermuth,TE,
2022,875405211336871936,1,waiver,failed,1663075375926,2022-09-13,5,kaufmannc,add,4082,Curtis Samuel,WR,15
2022,875056273173966848,1,waiver,complete,1662992182585,2022-09-12,5,kaufmannc,add,6955,James Robinson,RB,40
2022,875031777486495744,1,waiver,complete,1662986342358,2022-09-12,8,TylerWicks,add,4089,Gerald Everett,TE,20
2022,875031777486495744,1,waiver,complete,1662986342358,2022-09-12,8,TylerWicks,drop,4993,Mike Gesicki,TE,
2022,875019751309631488,1,waiver,complete,1662983475094,2022-09-12,8,TylerWicks,add,1825,Jarvis Landry,WR,35
2022,875019751309631488,1,waiver,complete,1662983475094,2022-09-12,8,TylerWicks,drop,5086,Marquez Valdes-Scantling,WR,
2022,874808532565336064,1,waiver,complete,1662933116621,2022-09-11,1,bgreenblatt,add,CLE,Cleveland Browns,DEF,1
2022,874808532565336064,1,waiver,complete,1662933116621,2022-09-11,1,bgreenblatt,drop,NO,New Orleans Saints,DEF,
2022,874721746987798528,1,commissioner,complete,1662912425327,2022-09-11,7,KingTowsk,add,6126,Irv Smith,TE,
2022,874714654948216832,1,waiver,complete,1662910734453,2022-09-11,10,cc5597,add,947,Julio Jones,WR,11
2022,872332797824667648,1,waiver,complete,1662342855462,2022-09-04,1,bgreenblatt,add,NO,New Orleans Saints,DEF,1
2022,861057101949173760,1,trade,complete,1659654520073,2022-08-04,7,KingTowsk,add,6819,Michael Pittman,WR,
2022,861057101949173760,1,trade,complete,1659654520073,2022-08-04,1,bgreenblatt,drop,6819,Michael Pittman,WR,
2022,837115572734009344,1,free_agent,complete,1653946414696,2022-05-30,1,bgreenblatt,drop,2359,Ameer Abdullah,RB,
2022,837115549078097920,1,free_agent,complete,1653946409056,2022-05-30,1,bgreenblatt,drop,SF,San Francisco 49ers,DEF,
2022,808881854966063104,1,free_agent,complete,1647214971823,2022-03-13,10,cc5597,drop,4981,Calvin Ridley,WR,
2022,878089962875244544,2,waiver,failed,1663715470573,2022-09-20,7,KingTowsk,add,NYG,New York Giants,DEF,1
2022,878089962875244544,2,waiver,failed,1663715470573,2022-09-20,7,KingTowsk,drop,4381,Taysom Hill,TE,
2022,878089856151330816,2,waiver,complete,1663715445128,2022-09-20,7,KingTowsk,add,PHI,Philadelphia Eagles,DEF,26
2022,878089856151330816,2,waiver,complete,1663715445128,2022-09-20,7,KingTowsk,drop,4381,Taysom Hill,TE,
2022,878000886067269632,2,waiver,complete,1663694233007,2022-09-20,9,brockhusk,add,19,Joe Flacco,QB,3
2022,877942918185385984,2,waiver,complete,1663680412387,2022-09-20,5,kaufmannc,add,5970,Greg Dortch,WR,2
2022,877942918185385984,2,waiver,complete,1663680412387,2022-09-20,5,kaufmannc,drop,1352,Robert Woods,WR,
2022,877661132054294528,2,free_agent,complete,1663613229338,2022-09-19,2,Erjohnson14,drop,956,Mark Ingram,RB,
2022,877655125295063040,2,waiver,complete,1663611797215,2022-09-19,5,kaufmannc,add,3271,Tyler Higbee,TE,5
2022,877655125295063040,2,waiver,complete,1663611797215,2022-09-19,5,kaufmannc,drop,5844,T.J. Hockenson,TE,
2022,877627028915122176,2,waiver,complete,1663605098516,2022-09-19,1,bgreenblatt,add,8119,Jahan Dotson,WR,15
2022,877627028915122176,2,waiver,complete,1663605098516,2022-09-19,1,bgreenblatt,drop,8136,Rachaad White,RB,
2022,877269171506302976,2,free_agent,complete,1663519778661,2022-09-18,7,KingTowsk,add,4381,Taysom Hill,TE,
2022,877269171506302976,2,free_agent,complete,1663519778661,2022-09-18,7,KingTowsk,drop,7090,Darnell Mooney,WR,
2022,877266907777208320,2,free_agent,complete,1663519238946,2022-09-18,7,KingTowsk,add,4082,Curtis Samuel,WR,
2022,877094536462147584,2,waiver,complete,1663478142422,2022-09-18,2,Erjohnson14,add,956,Mark Ingram,RB,1
2022,876200682884104192,2,waiver,complete,1663265031122,2022-09-15,10,cc5597,add,7600,Pat Freiermuth,TE,5
2022,876200682884104192,2,waiver,complete,1663265031122,2022-09-15,10,cc5597,drop,6826,Cole Kmet,TE,
2022,875881041926406144,2,waiver,complete,1663188822779,2022-09-14,1,bgreenblatt,add,8136,Rachaad White,RB,1
2022,875881041926406144,2,waiver,complete,1663188822779,2022-09-14,1,bgreenblatt,drop,7606,Kadarius Toney,WR,
2022,875874751808159744,2,waiver,complete,1663187323098,2022-09-14,8,TylerWicks,add,3225,Tyler Boyd,WR,1
2022,875842673075023872,2,waiver,complete,1663179674932,2022-09-14,5,kaufmannc,add,4195,Jake Elliott,K,1
2022,875842673075023872,2,waiver,complete,1663179674932,2022-09-14,5,kaufmannc,drop,4227,Harrison Butker,K,
2022,875766470968283136,2,waiver,failed,1663161506934,2022-09-14,5,kaufmannc,add,5284,Jeff Wilson,RB,25
2022,880658479810076672,3,waiver,failed,1664327852731,2022-09-27,7,KingTowsk,add,IND,Indianapolis Colts,DEF,1
2022,880658479810076672,3,waiver,failed,1664327852731,2022-09-27,7,KingTowsk,drop,BAL,Baltimore Ravens,DEF,
2022,880658425485500416,3,waiver,complete,1664327839779,2022-09-27,7,KingTowsk,add,NYG,New York Giants,DEF,1
2022,880658425485500416,3,waiver,complete,1664327839779,2022-09-27,7,KingTowsk,drop,BAL,Baltimore Ravens,DEF,
2022,880658100422807552,3,waiver,failed,1664327762278,2022-09-27,7,KingTowsk,add,5987,Alexander Mattison,RB,3
2022,880658100422807552,3,waiver,failed,1664327762278,2022-09-27,7,KingTowsk,drop,6945,Antonio Gibson,RB,
2022,880658052087681024,3,waiver,complete,1664327750754,2022-09-27,7,KingTowsk,add,7608,Khalil Herbert,RB,9
2022,880658052087681024,3,waiver,complete,1664327750754,2022-09-27,7,KingTowsk,drop,6945,Antonio Gibson,RB,
2022,880591618531758080,3,waiver,complete,1664311911760,2022-09-27,7,KingTowsk,add,1373,Geno Smith,QB,2
2022,880591618531758080,3,waiver,complete,1664311911760,2022-09-27,7,KingTowsk,drop,5870,Daniel Jones,QB,
2022,880591377455603712,3,waiver,failed,1664311854283,2022-09-27,7,KingTowsk,add,GB,Green Bay Packers,DEF,6
